,Original_Sentence,Parsed_Sentence,LReasoner_generated
7514,"If the crocodile is awful, then the tiger is not round.","(S (SBAR (IN If) (S (NP (DT the) (NN crocodile)) (VP (VBZ is) (ADJP (JJ awful))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN tiger)) (VP (VBZ is) (RB not) (ADJP (JJ round))) (. .))","If it is not awful, then it will be not the crocodile."
7515,"If the lion is not smart, then the wolf is not cute.","(S (SBAR (IN If) (S (NP (DT the) (NN lion)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ smart)))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN wolf)) (VP (VBZ is) (RB not) (ADJP (JJ cute))) (. .))","If it is smart, then it will be not the lion."
7516,Charlie is beautiful and the snake is round.,(S (S (NP (NNP Charlie)) (VP (VBZ is) (ADJP (JJ beautiful)))) (CC and) (S (NP (DT the) (NN snake)) (VP (VBZ is) (ADJP (JJ round)))) (. .)),"If it is not beautiful, then it will be not Charlie."
7517,the bald eagle is horrible and the dinosaur is not tiny.,(S (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ horrible)))) (CC and) (S (NP (DT the) (NN dinosaur)) (VP (VBZ is) (RB not) (ADJP (JJ tiny)))) (. .)),"If it is not horrible, then it will be not the bald eagle."
7518,the rabbit is angry or the squirrel is cute.,(S (S (NP (DT the) (NN rabbit)) (VP (VBZ is) (ADJP (JJ angry)))) (CC or) (S (NP (DT the) (NN squirrel)) (VP (VBZ is) (ADJP (JJ cute)))) (. .)),"If it is not angry, then it will be not the rabbit."
7519,Gary is not slow or Fiona is not short.,(S (S (NP (NNP Gary)) (VP (VBZ is) (RB not) (ADJP (JJ slow)))) (CC or) (NP (NNP Fiona)) (VP (VBZ is) (RB not) (ADJP (JJ short))) (. .)),"If it is slow, then it will be not Gary."
7520,Fiona is tiny and the tiger is not reckless.,(S (S (NP (NNP Fiona)) (VP (VBZ is) (ADJP (JJ tiny)))) (CC and) (S (NP (DT the) (NN tiger)) (VP (VBZ is) (RB not) (ADJP (JJ reckless)))) (. .)),"If it is not tiny, then it will be not Fiona."
7521,the wolf is powerful or Dave is heavy.,(S (S (NP (DT the) (NN wolf)) (VP (VBZ is) (ADJP (JJ powerful)))) (CC or) (S (NP (NNP Dave)) (VP (VBZ is) (ADJP (JJ heavy)))) (. .)),"If it is not powerful, then it will be not the wolf."
7522,the crocodile is not huge and the dog is not rough.,(S (S (NP (DT the) (NN crocodile)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ huge))))) (CC and) (S (NP (DT the) (NN dog)) (VP (VBZ is) (RB not) (ADJP (JJ rough)))) (. .)),"If it is huge, then it will be not the crocodile."
7523,"If the tiger is clever, then Erin is not small.","(S (SBAR (IN If) (S (NP (DT the) (NN tiger)) (VP (VBZ is) (ADJP (JJ clever))))) (, ,) (ADVP (RB then)) (NP (NNP Erin)) (VP (VBZ is) (RB not) (ADJP (JJ small))) (. .))","If it is not clever, then it will be not the tiger."
7524,Erin is not sad or the bear is small.,(S (S (NP (NNP Erin)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ sad))))) (CC or) (S (NP (DT the) (NN bear)) (VP (VBZ is) (ADJP (JJ small)))) (. .)),"If it is sad, then it will be not Erin."
7525,"If the tiger is not smart, then Gary is bad.","(S (SBAR (IN If) (S (NP (DT the) (NN tiger)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ smart)))))) (, ,) (ADVP (RB then)) (NP (NNP Gary)) (VP (VBZ is) (ADJP (JJ bad))) (. .))","If it is smart, then it will be not the tiger."
7526,"If the squirrel is not dull, then the lion is smart.","(S (SBAR (IN If) (S (NP (DT the) (NN squirrel)) (VP (VBZ is) (RB not) (ADJP (JJ dull))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN lion)) (VP (VBZ is) (ADJP (JJ smart))) (. .))","If it is dull, then it will be not the squirrel."
7527,the rabbit is not sad and the snake is not sad.,(S (S (NP (DT the) (NN rabbit)) (VP (VBZ is) (RB not) (ADJP (JJ sad)))) (CC and) (S (NP (DT the) (NN snake)) (VP (VBZ is) (RB not) (ADJP (JJ sad)))) (. .)),"If it is sad, then it will be not the rabbit."
7528,the mouse is not lazy or Alan is not nice.,(S (S (NP (DT the) (NN mouse)) (VP (VBZ is) (RB not) (ADJP (JJ lazy)))) (CC or) (S (NP (NNP Alan)) (VP (VBZ is) (RB not) (ADJP (JJ nice)))) (. .)),"If it is lazy, then it will be not the mouse."
7529,"If the wolf is not dull, then Bob is not reckless.","(S (SBAR (IN If) (S (NP (DT the) (NN wolf)) (VP (VBZ is) (RB not) (ADJP (JJ dull))))) (, ,) (ADVP (RB then)) (NP (NNP Bob)) (VP (VBZ is) (RB not) (ADJP (JJ reckless))) (. .))","If it is dull, then it will be not the wolf."
7530,the squirrel is lazy and the tiger is dull.,(S (S (NP (DT the) (NN squirrel)) (VP (VBZ is) (ADJP (JJ lazy)))) (CC and) (S (NP (DT the) (NN tiger)) (VP (VBZ is) (ADJP (JJ dull)))) (. .)),"If it is not lazy, then it will be not the squirrel."
7531,"If the bald eagle is not huge, then the tiger is wealthy.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ huge)))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN tiger)) (VP (VBZ is) (ADJP (JJ wealthy))) (. .))","If it is huge, then it will be not the bald eagle."
7532,the mouse is not bad and Harry is nice.,(S (S (NP (DT the) (NN mouse)) (VP (VBZ is) (RB not) (ADJP (JJ bad)))) (CC and) (S (NP (NNP Harry)) (VP (VBZ is) (ADJP (JJ nice)))) (. .)),"If it is bad, then it will be not the mouse."
7533,Fiona is horrible or the cat is thin.,(S (S (NP (NNP Fiona)) (VP (VBZ is) (ADJP (JJ horrible)))) (CC or) (S (NP (DT the) (NN cat)) (VP (VBZ is) (ADJP (JJ thin)))) (. .)),"If it is not horrible, then it will be not Fiona."
7534,"If the bald eagle is dull, then Anne is rough.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ dull))))) (, ,) (ADVP (RB then)) (NP (NNP Anne)) (VP (VBZ is) (ADJP (JJ rough))) (. .))","If it is not dull, then it will be not the bald eagle."
7535,the tiger is small and Bob is not slow.,(S (S (NP (DT the) (NN tiger)) (VP (VBZ is) (ADJP (JJ small)))) (CC and) (S (NP (NNP Bob)) (VP (VBZ is) (RB not) (ADJP (JJ slow)))) (. .)),"If it is not small, then it will be not the tiger."
7536,"If Bob is not horrible, then the leopard is not awful.","(S (SBAR (IN If) (S (NP (NNP Bob)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ horrible)))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN leopard)) (VP (VBZ is) (RB not) (ADJP (JJ awful))) (. .))","If it is horrible, then it will be not Bob."
7537,the dinosaur is not thin and Alan is not awful.,(S (S (NP (DT the) (NN dinosaur)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ thin))))) (CC and) (S (NP (NNP Alan)) (VP (VBZ is) (RB not) (ADJP (JJ awful)))) (. .)),"If it is thin, then it will be not the dinosaur."
7538,the bald eagle is not slow or the bald eagle is rough.,(S (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ slow)))) (CC or) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ rough)))) (. .)),"If it is slow, then it will be not the bald eagle."
7539,the crocodile is angry or the rabbit is not reckless.,(S (S (NP (DT the) (NN crocodile)) (VP (VBZ is) (ADJP (JJ angry)))) (CC or) (S (NP (DT the) (NN rabbit)) (VP (VBZ is) (RB not) (ADJP (JJ reckless)))) (. .)),"If it is not angry, then it will be not the crocodile."
7540,"If Erin is smart, then the cat is not dull.","(S (SBAR (IN If) (S (NP (NNP Erin)) (VP (VBZ is) (ADJP (JJ smart))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN cat)) (VP (VBZ is) (RB not) (ADJP (JJ dull))) (. .))","If it is not smart, then it will be not Erin."
7541,"If the cat is angry, then the rabbit is horrible.","(S (SBAR (IN If) (S (NP (DT the) (NN cat)) (VP (VBZ is) (ADJP (JJ angry))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN rabbit)) (VP (VBZ is) (ADJP (JJ horrible))) (. .))","If it is not angry, then it will be not the cat."
7542,"If the wolf is horrible, then Alan is not funny.","(S (SBAR (IN If) (S (NP (DT the) (NN wolf)) (VP (VBZ is) (ADJP (JJ horrible))))) (, ,) (ADVP (RB then)) (NP (NNP Alan)) (VP (VBZ is) (RB not) (ADJP (JJ funny))) (. .))","If it is not horrible, then it will be not the wolf."
7543,"If the dog is strong, then the dog is angry.","(S (SBAR (IN If) (S (NP (DT the) (NN dog)) (VP (VBZ is) (ADJP (JJ strong))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN dog)) (VP (VBZ is) (ADJP (JJ angry))) (. .))","If it is not strong, then it will be not the dog."
7544,Dave is not lovely and the mouse is strong.,(S (S (NP (NNP Dave)) (VP (VBZ is) (RB not) (ADJP (JJ lovely)))) (CC and) (S (NP (DT the) (NN mouse)) (VP (VBZ is) (ADJP (JJ strong)))) (. .)),"If it is lovely, then it will be not Dave."
7545,"If Harry is not lovely, then the cat is powerful.","(S (SBAR (IN If) (S (NP (NNP Harry)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ lovely)))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN cat)) (VP (VBZ is) (ADJP (JJ powerful))) (. .))","If it is lovely, then it will be not Harry."
7546,the leopard is awful and Alan is poor.,(S (S (NP (DT the) (NN leopard)) (VP (VBZ is) (ADJP (JJ awful)))) (CC and) (S (NP (NNP Alan)) (VP (VBZ is) (ADJP (JJ poor)))) (. .)),"If it is not awful, then it will be not the leopard."
7547,the dog is furry or Dave is wealthy.,(S (S (NP (DT the) (NN dog)) (VP (VBZ is) (ADJP (JJ furry)))) (CC or) (S (NP (NNP Dave)) (VP (VBZ is) (ADJP (JJ wealthy)))) (. .)),"If it is not furry, then it will be not the dog."
7548,"If the wolf is not horrible, then Harry is lovely.","(S (SBAR (IN If) (S (NP (DT the) (NN wolf)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ horrible)))))) (, ,) (ADVP (RB then)) (NP (NNP Harry)) (VP (VBZ is) (ADJP (JJ lovely))) (. .))","If it is horrible, then it will be not the wolf."
7549,the crocodile is not strong or the tiger is funny.,(S (S (NP (DT the) (NN crocodile)) (VP (VBZ is) (RB not) (ADJP (JJ strong)))) (CC or) (S (NP (DT the) (NN tiger)) (VP (VBZ is) (ADJP (JJ funny)))) (. .)),"If it is strong, then it will be not the crocodile."
7550,"If Gary is wealthy, then the lion is not tired.","(S (SBAR (IN If) (S (NP (NNP Gary)) (VP (VBZ is) (ADJP (JJ wealthy))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN lion)) (VP (VBZ is) (RB not) (ADJP (JJ tired))) (. .))","If it is not wealthy, then it will be not Gary."
7551,the lion is round or the bald eagle is not powerful.,(S (S (NP (DT the) (NN lion)) (VP (VBZ is) (ADJP (JJ round)))) (CC or) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ powerful)))) (. .)),"If it is not round, then it will be not the lion."
7552,Anne is rough and Harry is angry.,(S (S (NP (NNP Anne)) (VP (VBZ is) (ADJP (JJ rough)))) (CC and) (S (NP (NNP Harry)) (VP (VBZ is) (ADJP (JJ angry)))) (. .)),"If it is not rough, then it will be not Anne."
7553,"If the dog is huge, then the cat is round.","(S (SBAR (IN If) (S (NP (DT the) (NN dog)) (VP (VBZ is) (ADJP (JJ huge))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN cat)) (VP (VBZ is) (ADJP (JJ round))) (. .))","If it is not huge, then it will be not the dog."
7554,Gary is angry and the leopard is not horrible.,(S (S (NP (NNP Gary)) (VP (VBZ is) (ADJP (JJ angry)))) (CC and) (S (NP (DT the) (NN leopard)) (VP (VBZ is) (RB not) (ADJP (JJ horrible)))) (. .)),"If it is not angry, then it will be not Gary."
7555,"If Fiona is dull, then Gary is not sleepy.","(S (SBAR (IN If) (S (NP (NNP Fiona)) (VP (VBZ is) (ADJP (JJ dull))))) (, ,) (ADVP (RB then)) (NP (NNP Gary)) (VP (VBZ is) (RB not) (ADJP (JJ sleepy))) (. .))","If it is not dull, then it will be not Fiona."
7556,Gary is not furry or Harry is furry.,(S (NP (NNP Gary)) (VP (VBZ is) (RB not) (ADJP (JJ furry)) (CC or) (NP (NNP Harry)) (VP (VBZ is) (ADJP (JJ furry)))) (. .)),"If it is furry or Harry is furry, then it will be not Gary."
7557,Harry is not beautiful or Alan is not dull.,(S (S (NP (NNP Harry)) (VP (VBZ is) (RB not) (ADJP (JJ beautiful)))) (CC or) (S (NP (NNP Alan)) (VP (VBZ is) (RB not) (ADJP (JJ dull)))) (. .)),"If it is beautiful, then it will be not Harry."
7558,the leopard is angry.,(S (NP (DT the) (NN leopard)) (VP (VBZ is) (ADJP (JJ angry))) (. .)),"If it is not angry, then it will be not the leopard."
7559,"If Anne is slow, then the squirrel is horrible.","(S (SBAR (IN If) (S (NP (NNP Anne)) (VP (VBZ is) (ADJP (JJ slow))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN squirrel)) (VP (VBZ is) (ADJP (JJ horrible))) (. .))","If it is not slow, then it will be not Anne."
7560,the snake is not sad and the tiger is kind.,(S (S (NP (DT the) (NN snake)) (VP (VBZ is) (RB not) (ADJP (JJ sad)))) (CC and) (S (NP (DT the) (NN tiger)) (VP (VBZ is) (ADJP (JJ kind)))) (. .)),"If it is sad, then it will be not the snake."
7561,"If Dave is smart, then the bald eagle is horrible.","(S (SBAR (IN If) (S (NP (NNP Dave)) (VP (VBZ is) (ADJP (JJ smart))))) (, ,) (ADVP (RB then)) (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ horrible))) (. .))","If it is not smart, then it will be not Dave."
7562,"If the snake is tired, then Erin is not dull.","(S (SBAR (IN If) (S (NP (DT the) (NN snake)) (VP (VBZ is) (ADJP (JJ tired))))) (, ,) (ADVP (RB then)) (NP (NNP Erin)) (VP (VBZ is) (RB not) (ADJP (JJ dull))) (. .))","If it is not tired, then it will be not the snake."
7563,"If the dog is not sleepy, then Gary is tired.","(S (SBAR (IN If) (S (NP (DT the) (NN dog)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ sleepy)))))) (, ,) (ADVP (RB then)) (NP (NNP Gary)) (VP (VBZ is) (ADJP (JJ tired))) (. .))","If it is sleepy, then it will be not the dog."
7564,Gary is rough and Harry is not big.,(S (S (NP (NNP Gary)) (VP (VBZ is) (ADJP (JJ rough)))) (CC and) (NNP Harry) (VP (VBZ is) (RB not) (ADJP (JJ big))) (. .)),"If it is not rough, then it will be not Gary."
7565,the squirrel is not horrible and the snake is dull.,(S (S (NP (DT the) (NN squirrel)) (VP (VBZ is) (RB not) (ADJP (JJ horrible)))) (CC and) (S (NP (DT the) (NN snake)) (VP (VBZ is) (ADJP (JJ dull)))) (. .)),"If it is horrible, then it will be not the squirrel."
7566,"If the snake is not clever, then the crocodile is not sad.","(S (SBAR (IN If) (S (NP (DT the) (NN snake)) (VP (VBZ is) (RB not) (ADJP (JJ clever))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN crocodile)) (VP (VBZ is) (RB not) (ADJP (JJ sad))) (. .))","If it is clever, then it will be not the snake."
7567,Fiona is wealthy or the leopard is not powerful.,(S (S (NP (NNP Fiona)) (VP (VBZ is) (ADJP (JJ wealthy)))) (CC or) (S (NP (DT the) (NN leopard)) (VP (VBZ is) (RB not) (ADJP (JJ powerful)))) (. .)),"If it is not wealthy, then it will be not Fiona."
7568,Fiona is round and the squirrel is not strong.,(S (S (NP (NNP Fiona)) (VP (VBZ is) (ADJP (JJ round)))) (CC and) (S (NP (DT the) (NN squirrel)) (VP (VBZ is) (RB not) (ADJP (JJ strong)))) (. .)),"If it is not round, then it will be not Fiona."
7569,"If Dave is not powerful, then the bald eagle is not furry.","(S (SBAR (IN If) (S (NP (NNP Dave)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ powerful)))))) (, ,) (ADVP (RB then)) (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ furry))) (. .))","If it is powerful, then it will be not Dave."
7570,Charlie is not wealthy and Charlie is tired.,(S (S (NP (NNP Charlie)) (VP (VBZ is) (RB not) (ADJP (JJ wealthy)))) (CC and) (S (NP (NNP Charlie)) (VP (VBZ is) (ADJP (JJ tired)))) (. .)),"If it is wealthy, then it will be not Charlie."
7571,"If the squirrel is small, then Fiona is not quiet.","(S (SBAR (IN If) (S (NP (DT the) (NN squirrel)) (VP (VBZ is) (ADJP (JJ small))))) (, ,) (ADVP (RB then)) (NP (NNP Fiona)) (VP (VBZ is) (RB not) (ADJP (JJ quiet))) (. .))","If it is not small, then it will be not the squirrel."
7572,the tiger is powerful or the dog is angry.,(S (S (NP (DT the) (NN tiger)) (VP (VBZ is) (ADJP (JJ powerful)))) (CC or) (S (NP (DT the) (NN dog)) (VP (VBZ is) (ADJP (JJ angry)))) (. .)),"If it is not powerful, then it will be not the tiger."
7573,"If the crocodile is not tired, then Gary is not little.","(S (SBAR (IN If) (S (NP (DT the) (NN crocodile)) (VP (VBZ is) (RB not) (ADJP (JJ tired))))) (, ,) (ADVP (RB then)) (NP (NNP Gary)) (VP (VBZ is) (RB not) (NP (JJ little))) (. .))","If it is tired, then it will be not the crocodile."
7574,Gary is angry or the leopard is not horrible.,(S (S (NP (NNP Gary)) (VP (VBZ is) (ADJP (JJ angry)))) (CC or) (NP (DT the) (NN leopard)) (VP (VBZ is) (RB not) (ADJP (JJ horrible))) (. .)),"If it is not angry, then it will be not Gary."
7575,Harry is not clever and Alan is clever.,(S (S (NP (NNP Harry)) (VP (VBZ is) (ADJP (RB not) (JJ clever)))) (CC and) (S (NP (NNP Alan)) (VP (VBZ is) (ADJP (JJ clever)))) (. .)),"If it is clever, then it will be not Harry."
7576,"If the cat is not slow, then the mouse is not small.","(S (SBAR (IN If) (S (NP (DT the) (NN cat)) (VP (VBZ is) (RB not) (ADJP (JJ slow))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN mouse)) (VP (VBZ is) (RB not) (ADJP (JJ small))) (. .))","If it is slow, then it will be not the cat."
7577,"If Alan is not big, then Anne is bad.","(S (SBAR (IN If) (S (NP (NNP Alan)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ big)))))) (, ,) (ADVP (RB then)) (NP (NNP Anne)) (VP (VBZ is) (ADJP (JJ bad))) (. .))","If it is big, then it will be not Alan."
7578,"If Alan is smart, then the leopard is clever.","(S (SBAR (IN If) (S (NP (NNP Alan)) (VP (VBZ is) (ADJP (JJ smart))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN leopard)) (VP (VBZ is) (ADJP (JJ clever))) (. .))","If it is not smart, then it will be not Alan."
7579,"If the wolf is not huge, then the bald eagle is dull.","(S (SBAR (IN If) (S (NP (DT the) (NN wolf)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ huge)))))) (, ,) (ADVP (RB then)) (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ dull))) (. .))","If it is huge, then it will be not the wolf."
7580,the squirrel is not smart or the dinosaur is not slow.,(S (S (NP (DT the) (NN squirrel)) (VP (VBZ is) (RB not) (ADJP (JJ smart)))) (CC or) (S (NP (DT the) (NN dinosaur)) (VP (VBZ is) (RB not) (ADJP (JJ slow)))) (. .)),"If it is smart, then it will be not the squirrel."
7581,the bald eagle is not dull or Charlie is not boring.,(S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ dull))) (CC or) (S (NP (NNP Charlie)) (VP (VBZ is) (RB not) (ADJP (JJ boring)))) (. .)),"If it is dull, then it will be not the bald eagle."
7582,Bob is smart or Gary is not thin.,(S (NP (NNP Bob)) (VP (VBZ is) (ADJP (JJ smart))) (CC or) (NP (NNP Gary)) (VP (VBZ is) (RB not) (ADJP (JJ thin))) (. .)),"If it is not smart, then it will be not Bob."
7583,the rabbit is not big or Gary is not angry.,(S (S (NP (DT the) (NN rabbit)) (VP (VBZ is) (RB not) (ADJP (JJ big)))) (CC or) (S (NP (NNP Gary)) (VP (VBZ is) (RB not) (ADJP (JJ angry)))) (. .)),"If it is big, then it will be not the rabbit."
7584,"If Fiona is rough, then the leopard is not cute.","(S (SBAR (IN If) (S (NP (NNP Fiona)) (VP (VBZ is) (ADJP (JJ rough))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN leopard)) (VP (VBZ is) (RB not) (ADJP (JJ cute))) (. .))","If it is not rough, then it will be not Fiona."
7585,the lion is strong and the dog is not cute.,(S (S (NP (DT the) (NN lion)) (VP (VBZ is) (ADJP (JJ strong)))) (CC and) (S (NP (DT the) (NN dog)) (VP (VBZ is) (RB not) (ADJP (JJ cute)))) (. .)),"If it is not strong, then it will be not the lion."
7586,Charlie is short or the bald eagle is cute.,(S (S (NP (NNP Charlie)) (VP (VBZ is) (ADJP (JJ short)))) (CC or) (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ cute))) (. .)),"If it is not short, then it will be not Charlie."
7587,"If the wolf is strong, then the snake is not cute.","(S (SBAR (IN If) (S (NP (DT the) (NN wolf)) (VP (VBZ is) (ADJP (JJ strong))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN snake)) (VP (VBZ is) (RB not) (ADJP (JJ cute))) (. .))","If it is not strong, then it will be not the wolf."
7588,the tiger is not nice and the leopard is short.,(S (S (NP (DT the) (NN tiger)) (VP (VBZ is) (RB not) (ADJP (JJ nice)))) (CC and) (S (NP (DT the) (NN leopard)) (VP (VBZ is) (ADJP (JJ short)))) (. .)),"If it is nice, then it will be not the tiger."
7589,the wolf is kind or the tiger is not rough.,(S (NP (DT the) (NN wolf)) (VP (VBZ is) (ADJP (JJ kind))) (CC or) (NP (DT the) (NN tiger)) (VP (VBZ is) (RB not) (ADJP (JJ rough))) (. .)),"If it is not kind, then it will be not the wolf."
7590,"If Erin is not little, then the mouse is not smart.","(S (SBAR (IN If) (S (NP (NNP Erin)) (VP (VBZ is) (RB not) (ADJP (JJ little))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN mouse)) (VP (VBZ is) (RB not) (ADJP (JJ smart))) (. .))","If it is little, then it will be not Erin."
7591,the snake is not angry or the wolf is not huge.,(S (S (NP (DT the) (NN snake)) (VP (VBZ is) (RB not) (ADJP (JJ angry)))) (CC or) (NP (DT the) (NN wolf)) (VP (VBZ is) (RB not) (ADJP (JJ huge))) (. .)),"If it is angry, then it will be not the snake."
7592,"If the snake is not boring, then the bear is not quiet.","(S (SBAR (IN If) (S (NP (DT the) (NN snake)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ boring)))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN bear)) (VP (VBZ is) (RB not) (ADJP (JJ quiet))) (. .))","If it is boring, then it will be not the snake."
7593,the snake is not dull or Anne is rough.,(S (S (NP (DT the) (NN snake)) (VP (VBZ is) (RB not) (ADJP (JJ dull)))) (CC or) (S (NP (NNP Anne)) (VP (VBZ is) (ADJP (JJ rough)))) (. .)),"If it is dull, then it will be not the snake."
7594,"If the snake is boring, then the crocodile is lovely.","(S (SBAR (IN If) (S (NP (DT the) (NN snake)) (VP (VBZ is) (ADJP (JJ boring))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN crocodile)) (VP (VBZ is) (ADJP (JJ lovely))) (. .))","If it is not boring, then it will be not the snake."
7595,"If Dave is not furry, then the tiger is angry.","(S (SBAR (IN If) (S (NP (NNP Dave)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ furry)))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN tiger)) (VP (VBZ is) (ADJP (JJ angry))) (. .))","If it is furry, then it will be not Dave."
7596,Bob is round or the bear is angry.,(S (S (NP (NNP Bob)) (VP (VBZ is) (ADJP (JJ round)))) (CC or) (NP (DT the) (NN bear)) (VP (VBZ is) (ADJP (JJ angry))) (. .)),"If it is not round, then it will be not Bob."
7597,the dog is not wealthy or the dog is not rough.,(S (S (NP (DT the) (NN dog)) (VP (VBZ is) (RB not) (ADJP (JJ wealthy)))) (CC or) (S (NP (DT the) (NN dog)) (VP (VBZ is) (RB not) (ADJP (JJ rough)))) (. .)),"If it is wealthy, then it will be not the dog."
7598,"If the leopard is not nice, then the snake is fierce.","(S (SBAR (IN If) (S (NP (DT the) (NN leopard)) (VP (VBZ is) (RB not) (ADJP (JJ nice))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN snake)) (VP (VBZ is) (ADJP (JJ fierce))) (. .))","If it is nice, then it will be not the leopard."
7599,the tiger is not fierce or Charlie is not awful.,(S (NP (DT the) (NN tiger)) (VP (VBZ is) (RB not) (ADJP (JJ fierce))) (CC or) (NP (NNP Charlie)) (VP (VBZ is) (RB not) (ADJP (JJ awful))) (. .)),"If it is fierce, then it will be not the tiger."
7600,"If Charlie is powerful, then the wolf is beautiful.","(S (SBAR (IN If) (S (NP (NNP Charlie)) (VP (VBZ is) (ADJP (JJ powerful))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN wolf)) (VP (VBZ is) (ADJP (JJ beautiful))) (. .))","If it is not powerful, then it will be not Charlie."
7601,"If the bald eagle is not slow, then Erin is kind.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ slow))))) (, ,) (ADVP (RB then)) (NP (NNP Erin)) (VP (VBZ is) (ADJP (JJ kind))) (. .))","If it is slow, then it will be not the bald eagle."
7602,"If the crocodile is not fierce, then the snake is not wealthy.","(S (SBAR (IN If) (S (NP (DT the) (NN crocodile)) (VP (VBZ is) (RB not) (ADJP (JJ fierce))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN snake)) (VP (VBZ is) (RB not) (ADJP (JJ wealthy))) (. .))","If it is fierce, then it will be not the crocodile."
7603,Alan is not lazy or Anne is slow.,(S (NP (NNP Alan)) (VP (VBZ is) (RB not) (ADJP (JJ lazy))) (CC or) (S (NP (NNP Anne)) (VP (VBZ is) (ADJP (JJ slow)))) (. .)),"If it is lazy, then it will be not Alan."
7604,"If the dog is quiet, then Alan is not sad.","(S (SBAR (IN If) (S (NP (DT the) (NN dog)) (VP (VBZ is) (ADJP (JJ quiet))))) (, ,) (ADVP (RB then)) (NP (NNP Alan)) (VP (VBZ is) (RB not) (ADJP (JJ sad))) (. .))","If it is not quiet, then it will be not the dog."
7605,"If Anne is angry, then the bear is rough.","(S (SBAR (IN If) (S (NP (NNP Anne)) (VP (VBZ is) (ADJP (JJ angry))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN bear)) (VP (VBZ is) (ADJP (JJ rough))) (. .))","If it is not angry, then it will be not Anne."
7606,"If the bear is not dull, then Harry is dull.","(S (SBAR (IN If) (S (NP (DT the) (NN bear)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ dull)))))) (, ,) (ADVP (RB then)) (NP (NNP Harry)) (VP (VBZ is) (ADJP (JJ dull))) (. .))","If it is dull, then it will be not the bear."
7607,"If the snake is bad, then the snake is not tired.","(S (SBAR (IN If) (S (NP (DT the) (NN snake)) (VP (VBZ is) (ADJP (JJ bad))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN snake)) (VP (VBZ is) (RB not) (ADJP (JJ tired))) (. .))","If it is not bad, then it will be not the snake."
